Cites,Authors,Title,Year,Source,GSRank,ECC,CitesPerYear,CitesPerAuthor,AuthorCount
285,"C Yip, C Dinkel, A Mahajan, M Siddique, GJR Cook…","Imaging body composition in cancer patients: visceral obesity, sarcopenia and sarcopenic obesity may impact on clinical outcome",2015,Insights into …,36,285,28.5,48,6
284,"KV Chang, TH Hsu, WT Wu, KC Huang…",Is sarcopenia associated with depression? A systematic review and meta-analysis of observational studies,2017,Age and …,323,284,35.5,57,5
284,"G Guglielmi, F Ponti, M Agostini, M Amadori…",The role of DXA in sarcopenia,2016,Aging clinical and …,178,284,31.56,57,5
283,"P Tandon, G Low, M Mourtzakis, L Zenith…",A model to identify sarcopenia in patients with cirrhosis,2016,Clinical …,77,283,31.44,57,5
282,"GD Ceniccola, MG Castro, SMF Piovacari, LM Horie…",Current technologies in body composition assessment: advantages and disadvantages,2019,Nutrition,303,282,47,56,5
282,"Y Choi, DY Oh, TY Kim, KH Lee, SW Han, SA Im…","Skeletal muscle depletion predicts the prognosis of patients with advanced pancreatic cancer undergoing palliative chemotherapy, independent of body mass …",2015,PloS one,433,282,28.2,40,7
278,"O Di Vincenzo, M Marra, A Di Gregorio, F Pasanisi…",Bioelectrical impedance analysis (BIA)-derived phase angle in sarcopenia: A systematic review,2021,Clinical nutrition,362,278,69.5,56,5
276,"SK Kamarajah, J Bundred, BHL Tan",Body composition assessment and sarcopenia in patients with gastric cancer: a systematic review and meta-analysis,2019,Gastric Cancer,355,276,46,92,3
275,"W Sepúlveda‐Loyola, C Osadnik, S Phu…","Diagnosis, prevalence, and clinical impact of sarcopenia in COPD: a systematic review and meta‐analysis",2020,"Journal of Cachexia, Sarcopenia and Muscle",358,275,55,69,4
274,"S Goates, K Du, MB Arensberg, T Gaillard…",Economic impact of hospitalizations in US adults with sarcopenia,2019,The Journal of frailty & …,905,274,45.67,55,5
274,"K Yamamoto, Y Nagatsuma, Y Fukuda, M Hirao…",Effectiveness of a preoperative exercise and nutritional support program for elderly sarcopenic patients with gastric cancer,2017,Gastric cancer,977,274,34.25,55,5
271,"EY Kim, YS Kim, I Park, HK Ahn, EK Cho…",Prognostic significance of CT-determined sarcopenia in patients with small-cell lung cancer,2015,Journal of Thoracic …,298,271,27.1,45,6
269,"F Curcio, G Ferro, C Basile, I Liguori, P Parrella…",Biomarkers in sarcopenia: a multifactorial approach,2016,Experimental Gerontology,815,269,29.89,45,6
268,"AP Cerri, G Bellelli, A Mazzone, F Pittella, F Landi…",Sarcopenia and malnutrition in acutely ill hospitalized elderly: Prevalence and outcomes,2015,Clinical nutrition,722,268,26.8,45,6
267,"AS Tagliafico, B Bignotti, L Torri, F Rossi","Sarcopenia: how to measure, when and why",2022,La radiologia medica,63,267,89,67,4
264,"C Suetta, B Haddock, J Alcazar, T Noerst…","The Copenhagen Sarcopenia Study: lean mass, strength, power, and physical function in a Danish cohort aged 20–93 years",2019,"Journal of Cachexia, Sarcopenia and Muscle",755,264,44,53,5
264,"RD Nipp, G Fuchs, A El‐Jawahri, J Mario…",Sarcopenia is associated with quality of life and depression in patients with advanced cancer,2018,The …,745,264,37.71,53,5
256,"TN Kim, KM Choi",The implications of sarcopenia and sarcopenic obesity on cardiometabolic disease,2015,Journal of cellular biochemistry,113,256,25.6,128,2
254,"H He, Y Liu, Q Tian, CJ Papasian, T Hu…",Relationship of sarcopenia and body composition with osteoporosis,2016,Osteoporosis …,115,254,28.22,42,6
248,"SJ Peterson, CA Braunschweig",Prevalence of sarcopenia and associated outcomes in the clinical setting,2016,Nutrition in Clinical Practice,218,248,27.56,124,2
246,"AM Ryan, CM Prado, ES Sullivan, DG Power, LE Daly","Effects of weight loss and sarcopenia on response to chemotherapy, quality of life, and survival",2019,Nutrition,911,246,41,49,5
241,"YD Rong, AL Bian, HY Hu, Y Ma, XZ Zhou","Study on relationship between elderly sarcopenia and inflammatory cytokine IL-6, anti-inflammatory cytokine IL-10",2018,BMC Geriatrics,492,241,34.43,48,5
240,"D Meza-Valderrama, E Marco, V Dávalos-Yerovi…","Sarcopenia, malnutrition, and cachexia: adapting definitions and terminology of nutritional disorders in older people with cancer",2021,Nutrients,772,240,60,60,4
238,"KE Rollins, N Tewari, A Ackner, A Awwad…",The impact of sarcopenia and myosteatosis on outcomes of unresectable pancreatic cancer or distal cholangiocarcinoma,2016,Clinical nutrition,318,238,26.44,48,5
236,"C Messina, D Albano, S Gitto…",Body composition with dual energy X-ray absorptiometry: from basics to new tools,2020,… imaging in medicine …,544,236,47.2,59,4
235,"SJ Peterson, M Mozer",Differentiating sarcopenia and cachexia among patients with cancer,2017,Nutrition in clinical practice,302,235,29.38,118,2
233,"V Hirani, V Naganathan, F Blyth, DG Le Couteur…","Longitudinal associations between body composition, sarcopenic obesity and outcomes of frailty, disability, institutionalisation and mortality in community-dwelling …",2017,Age and …,405,233,29.13,47,5
232,"A Bian, Y Ma, X Zhou, Y Guo, W Wang, Y Zhang…",Association between sarcopenia and levels of growth hormone and insulin-like growth factor-1 in the elderly,2020,BMC musculoskeletal …,576,232,46.4,33,7
232,"MC Gonzalez, SB Heymsfield",Bioelectrical impedance analysis for diagnosing sarcopenia and cachexia: what are we really estimating?,2017,"Journal of Cachexia, Sarcopenia and Muscle",798,232,29,116,2
232,"CD Liao, JY Tsauo, LF Lin, SW Huang, JW Ku…",Effects of elastic resistance exercise on body composition and physical capacity in older women with sarcopenic obesity: A CONSORT-compliant prospective …,2017,Medicine,423,232,29,39,6
228,"M Wang, Y Tan, Y Shi, X Wang, Z Liao…","Diabetes and sarcopenic obesity: pathogenesis, diagnosis, and treatments",2020,Frontiers in Endocrinology,64,228,45.6,38,6
218,"JBM Diz, AAO Leopoldino, BS Moreira…",Prevalence of sarcopenia in older B razilians: A systematic review and meta‐analysis,2017,Geriatrics & …,563,218,27.25,55,4
218,"D Lee, RP Shook, C Drenowatz, SN Blair","Physical activity and sarcopenic obesity: definition, assessment, prevalence and mechanism",2016,Future science OA,141,218,24.22,55,4
217,"GR Williams, RF Dunne, S Giri…",Sarcopenia in the older adult with cancer,2021,Journal of Clinical …,670,217,54.25,54,4
213,"P Anandavadivelan, TB Brismar, M Nilsson, AM Johar…",Sarcopenic obesity: a probable risk factor for dose limiting toxicity during neo-adjuvant chemotherapy in oesophageal cancer patients,2016,Clinical nutrition,638,213,23.67,43,5
204,"C Beaudart, JY Reginster, J Slomian, F Buckinx…",Estimation of sarcopenia prevalence using various assessment tools,2015,Experimental Gerontology,305,204,20.4,41,5
201,J Woo,Sarcopenia,2017,Clinics in geriatric medicine,403,201,25.13,201,1
201,"IO Zalite, R Zykus, MF Gonzalez, F Saygili, A Pukitis…",Influence of cachexia and sarcopenia on survival in pancreatic ductal adenocarcinoma: a systematic review,2015,Pancreatology,418,201,20.1,34,6
197,"IP Carneiro, VC Mazurak, CM Prado",Clinical implications of sarcopenic obesity in cancer,2016,Current oncology reports,481,197,21.89,66,3
195,"X Shu, T Lin, H Wang, Y Zhao, T Jiang…","Diagnosis, prevalence, and mortality of sarcopenia in dialysis patients: a systematic review and meta‐analysis",2022,"Journal of Cachexia, Sarcopenia and Muscle",175,195,65,33,6
193,"I Trouwborst, A Verreijen, R Memelink, P Massanet…",Exercise and nutrition strategies to counteract sarcopenic obesity,2018,Nutrients,902,193,27.57,39,5
190,"K Murat, B Kaymak, WR Frontera…",Diagnosing sarcopenia: functional perspectives and a new algorithm from ISarcoPRM,2021,Journal of Hepatology,209,190,47.5,48,4
189,"A Kobayashi, T Kaido, Y Hamaguchi…",Impact of sarcopenic obesity on outcomes in patients undergoing hepatectomy for hepatocellular carcinoma,2019,Annals of …,404,189,31.5,47,4
188,"Y Akamatsu, T Kusakabe, H Arai…",Phase angle from bioelectrical impedance analysis is a useful indicator of muscle quality,2022,"Journal of Cachexia, Sarcopenia and Muscle",636,188,62.67,47,4
186,"PR Boshier, R Heneghan, SR Markar…",Assessment of body composition and sarcopenia in patients with esophageal cancer: a systematic review and meta-analysis,2018,Diseases of the …,347,186,26.57,47,4
186,"JS Chang, TH Kim, TT Nguyen, KS Park…",Circulating irisin levels as a predictive biomarker for sarcopenia: a cross‐sectional community‐based study,2017,Geriatrics & …,356,186,23.25,37,5
185,"JC Brown, EM Cespedes Feliciano…","The evolution of body composition in oncology—epidemiology, clinical trials, and the future of patient care: facts and numbers",2018,"… of cachexia, sarcopenia …",599,185,26.43,62,3
184,"M Yang, X Hu, L Xie, L Zhang, J Zhou, J Lin…",Screening sarcopenia in community-dwelling older adults: SARC-F vs SARC-F combined with calf circumference (SARC-CalF),2018,Journal of the American Medical Directors Association,695,184,26.29,26,7
183,"Y Du, X Wang, H Xie, S Zheng, X Wu, X Zhu…",Sex differences in the prevalence and adverse outcomes of sarcopenia and sarcopenic obesity in community dwelling elderly in East China using the AWGS …,2019,BMC endocrine …,737,183,30.5,26,7
183,"MC Gonzalez, TG Barbosa-Silva…",Bioelectrical impedance analysis in the assessment of sarcopenia,2018,Current Opinion in …,991,183,26.14,61,3
179,"H Trierweiler, G Kisielewicz…",Sarcopenia: a chronic complication of type 2 diabetes mellitus,2018,Diabetology &metabolic …,632,179,25.57,60,3
179,"J Hong, J Kim, SW Kim, HJ Kong",Effects of home-based tele-exercise on sarcopenia among community-dwelling elderly adults: Body composition and functional fitness,2017,Experimental gerontology,575,179,22.38,45,4
179,"G Sergi, C Trevisan, N Veronese, P Lucato…",Imaging of sarcopenia,2016,European journal of …mmmm,75,179,19.89,36,5
178,"F Petermann-Rocha, M Chen, SR Gray, FK Ho, JP Pell…",Factors associated with sarcopenia: A cross-sectional analysis using UK Biobank,2020,Maturitas,713,178,35.6,30,6
178,"Y Su, M Yuki, M Otsuki",Prevalence of stroke-related sarcopenia: a systematic review and meta-analysis,2020,Journal of Stroke and Cerebrovascular Diseases,795,178,35.6,59,3
176,"JL Atkins, SG Wannamathee",Sarcopenic obesity in ageing: cardiovascular outcomes and mortality,2020,British Journal of Nutrition,729,176,35.2,88,2
176,"E Deluche, S Leobon, JC Desport…",Impact of body composition on outcome in patients with early breast cancer,2018,Supportive Care in …,586,176,25.14,44,4
174,"T Okazaki, S Ebihara, T Mori, S Izumi…",Association between sarcopenia and pneumonia in older people,2020,Geriatrics & …,933,174,34.8,35,5
173,"C Liu, PY Wong, YL Chung, SKH Chow…",Deciphering the “obesity paradox” in the elderly: A systematic review and meta‐analysis of sarcopenic obesity,2023,Obesity …,98,173,86.5,35,5
173,"V Chianca, D Albano, C Messina, S Gitto, G Ruffo…",Sarcopenia: imaging assessment and clinical application,2022,Abdominal …,28,173,57.67,29,6
173,"M Anjanappa, M Corden, A Green, D Roberts…",Sarcopenia in cancer: Risking more than muscle loss,2020,Technical innovations & …,378,173,34.6,35,5
173,"RV Bryant, S Ooi, CG Schultz, C Goess…",Low muscle mass and sarcopenia: common and predictive of osteopenia in inflammatory bowel disease,2015,Alimentary …,760,173,17.3,35,5
171,"C Messina, G Maffi, JA Vitale…",Diagnostic imaging of osteoporosis and sarcopenia: a narrative review,2018,… imaging in medicine …,30,171,24.43,43,4
171,"C Palmela, S Velho, L Agostinho…",Body composition as a prognostic factor of neoadjuvant chemotherapy toxicity and outcome in patients with locally advanced gastric cancer,2017,Journal of gastric …,166,171,21.38,43,4
170,"MH Choi, SN Oh, IK Lee, ST Oh…",Sarcopenia is negatively associated with long‐term outcomes in locally advanced rectal cancer,2018,"… of cachexia, sarcopenia …",592,170,24.29,34,5
170,"CA Johnson Stoklossa, AM Sharma…",Prevalence of sarcopenic obesity in adults with class II/III obesity using different diagnostic criteria,2017,Journal of nutrition …,27,170,21.25,57,3
169,"L Bianchi, P Abete, G Bellelli, M Bo…","Prevalence and clinical correlates of sarcopenia, identified according to the EWGSOP definition and diagnostic algorithm, in hospitalized older people: the GLISTEN …",2017,… Series A: Biomedical …,284,169,21.13,34,5
169,"T Cederholm, GL Jensen",To create a consensus on malnutrition diagnostic criteria: a report from the Global Leadership Initiative on Malnutrition (GLIM) meeting at the ESPEN Congress 2016,2017,Journal of Parenteral and Enteral …,688,169,21.13,85,2
169,"RR McLean, DP Kiel",Developing consensus criteria for sarcopenia: an update,2015,Journal of Bone and Mineral Research,419,169,16.9,85,2
167,"XS Yee, YS Ng, JC Allen, A Latib, EL Tay…",Performance on sit-to-stand tests in relation to measures of functional fitness and sarcopenia diagnosis in community-dwelling older adults,2021,European Review of …,374,167,41.75,28,6
166,"SS Shachar, AM Deal, M Weinberg…",Body composition as a predictor of toxicity in patients receiving anthracycline and taxane–based chemotherapy for early-stage breast cancer,2017,Clinical Cancer …,879,166,20.75,42,4
165,"C Koliaki, S Liatis, M Dalamaga, A Kokkinos","Sarcopenic obesity: epidemiologic evidence, pathophysiology, and therapeutic perspectives",2019,Current obesity reports,119,165,27.5,41,4
162,"H Su, J Ruan, T Chen, E Lin, L Shi",CT-assessed sarcopenia is a predictive factor for both long-term and short-term outcomes in gastrointestinal oncology patients: a systematic review and meta …,2019,Cancer Imaging,446,162,27,32,5
161,"M Steffl, RW Bohannon, M Petr…",Relation between cigarette smoking and sarcopenia: meta-analysis,2015,Physiological …,986,161,16.1,40,4
159,"U Nemec, B Heidinger, C Sokas, L Chu…",Diagnosing sarcopenia on thoracic computed tomography: quantitative assessment of skeletal muscle mass in patients undergoing transcatheter aortic valve …,2017,Academic radiology,385,159,19.88,32,5
158,"O Vergara-Fernandez, M Trejo-Avila…",Sarcopenia in patients with colorectal cancer: A comprehensive review,2020,World journal of …,756,158,31.6,53,3
158,"J Miller, L Wells, U Nwulu, D Currow…","Validated screening tools for the assessment of cachexia, sarcopenia, and malnutrition: a systematic review",2018,The American journal of …,936,158,22.57,32,5
157,"XM Zhang, QL Dou, Y Zeng, Y Yang, ASK Cheng…",Sarcopenia as a predictor of mortality in women with breast cancer: a meta-analysis and systematic review,2020,BMC cancer,971,157,31.4,26,6
156,"B Buchard, Y Boirie, L Cassagnes, G Lamblin, A Coilly…","Assessment of malnutrition, sarcopenia and frailty in patients with cirrhosis: which tools should we use in clinical practice?",2020,Nutrients,748,156,31.2,26,6
156,"V Malafarina, F Uriz-Otano, C Malafarina, JA Martinez…",Effectiveness of nutritional supplementation on sarcopenia and recovery in hip fracture patients. A multi-centre randomized trial,2017,Maturitas,526,156,19.5,31,5
156,"G Vanhoutte, M van de Wiel…",Cachexia in cancer: what is in the definition?,2016,BMJ open …,890,156,17.33,52,3
154,J Schols…,Sarcopenia: revised European consensus on definition and diagnosis,2019,Age and …,221,154,25.67,77,2
153,"Y Fukuoka, T Narita, H Fujita, T Morii…",Importance of physical evaluation using skeletal muscle mass index and body fat percentage to prevent sarcopenia in elderly Japanese diabetes patients,2019,Journal of diabetes …,274,153,25.5,31,5
153,"ZA Öztürk, İH Türkbeyler, A Abiyev, S Kul…","Health‐related quality of life and fall risk associated with age‐related body composition changes; sarcopenia, obesity and sarcopenic obesity",2018,Internal medicine …,41,153,21.86,31,5
152,"A Han, SL Bokshan, SE Marcaccio…",Diagnostic criteria and clinical outcomes in sarcopenia research: a literature review,2018,Journal of clinical …,359,152,21.71,38,4
152,"MJ Shin, YK Jeon, IJ Kim",Testosterone and sarcopenia,2018,The world journal of men's health,277,152,21.71,51,3
152,"JK Kays, S Shahda, M Stanley, TM Bell…",Three cachexia phenotypes and the impact of fat‐only loss on survival in FOLFIRINOX therapy for pancreatic cancer,2018,"Journal of Cachexia, Sarcopenia and Muscle",906,152,21.71,30,5
152,"TM Lodewick, TJA van Nijnatten, RM van Dam…","Are sarcopenia, obesity and sarcopenic obesity predictive of outcome in patients with colorectal liver metastases?",2015,Hpb,126,152,15.2,38,4
151,"N Chen, X He, Y Feng, BE Ainsworth, Y Liu",Effects of resistance training in healthy older people with sarcopenia: a systematic review and meta-analysis of randomized controlled trials,2021,European Review of Aging …,528,151,37.75,30,5
151,"R Nakamura, Y Inage, R Tobita, S Yoneyama…",Sarcopenia in resected NSCLC: effect on postoperative outcomes,2018,Journal of Thoracic …,651,151,21.57,30,5
151,"M Paireder, R Asari, I Kristo, E Rieder…",Impact of sarcopenia on outcome in patients with esophageal resection following neoadjuvant chemotherapy for esophageal cancer,2017,European Journal of …mmmmnnn,598,151,18.88,30,5
150,"HT Chen, HJ Wu, YJ Chen, SY Ho, YC Chung","Effects of 8-week kettlebell training on body composition, muscle strength, pulmonary function, and chronic low-grade inflammation in elderly women with sarcopenia",2018,Experimental gerontology,426,150,21.43,30,5
150,"F de Blasio, A Di Gregorio, F de Blasio, A Bianco…","Malnutrition and sarcopenia assessment in patients with chronic obstructive pulmonary disease according to international diagnostic criteria, and evaluation …",2018,Respiratory …,162,150,21.43,30,5
149,"K Magudia, CP Bridge, CP Bay, A Babic, FJ Fintelmann…","Population-scale CT-based body composition analysis of a large outpatient population using deep learning to derive age-, sex-, and race-specific reference curves",2021,Radiology,57,149,37.25,25,6
149,"PH Ooi, S Thompson‐Hodgetts…",Pediatric sarcopenia: a paradigm in the overall definition of malnutrition in children?,2020,Journal of Parenteral …,133,149,29.8,50,3
149,"PH Ooi, A Hager, VC Mazurak, K Dajani…",Sarcopenia in chronic liver disease: impact on outcomes,2019,Liver …,550,149,24.83,30,5
149,"S Nishiguchi, M Yamada, N Fukutani, D Adachi…",Differential association of frailty with cognitive decline and sarcopenia in community-dwelling older adults,2015,Journal of the American Medical Directors Association,970,149,14.9,30,5
149,"H Fukushima, M Yokoyama, Y Nakanishi, K Tobisu…",Sarcopenia as a prognostic biomarker of advanced urothelial carcinoma,2015,PloS one,943,149,14.9,30,5
146,"A Nagano, H Wakabayashi, K Maeda, Y Kokura…","Respiratory sarcopenia and sarcopenic respiratory disability: concepts, diagnosis, and treatment",2021,"The Journal of Nutrition, Health and Aging",287,146,36.5,29,5
146,"RG Ganju, R Morse, A Hoover, M TenNapel…",The impact of sarcopenia on tolerance of radiation and outcome in patients with head and neck cancer receiving chemoradiation,2019,Radiotherapy and …,502,146,24.33,29,5
146,"RCE Santo, KZ Fernandes, PS Lora…",Prevalence of rheumatoid cachexia in rheumatoid arthritis: a systematic review and meta‐analysis,2018,"Journal of Cachexia, Sarcopenia and Muscle",577,146,20.86,37,4
146,"DW Adams, S Gurwara, HJ Silver…",Sarcopenia is common in overweight patients with inflammatory bowel disease and may predict need for surgery,2017,Inflammatory bowel …,808,146,18.25,37,4
145,"S Carias, AL Castellanos, V Vilchez…",Nonalcoholic steatohepatitis is strongly associated with sarcopenic obesity in patients with cirrhosis undergoing liver transplant evaluation,2016,Journal of Hepatology,542,145,16.11,36,4
144,"GE Jimenez-Gutierrez, LE Martínez-Gómez…",Molecular mechanisms of inflammation in sarcopenia: diagnosis and therapeutic update,2022,Cells,246,144,48,48,3
144,"JE Burns, J Yao, D Chalhoub, JJ Chen, RM Summers",A machine learning algorithm to estimate sarcopenia on abdominal CT,2020,Academic radiology,10,144,28.8,29,5
144,"M Locquet, C Beaudart, JY Reginster…",Comparison of the performance of five screening methods for sarcopenia,2017,Clinical …,682,144,18,36,4
143,"M Kim, CW Won",Sarcopenia in Korean community-dwelling adults aged 70 years and older: application of screening and diagnostic tools from the Asian Working Group for Sarcopenia …,2020,Journal of the American Medical Directors Association,421,143,28.6,72,2
143,"FB Pereira, AF Leite, AP Paula","Relationship between pre-sarcopenia, sarcopenia and bone mineral density in elderly men",2015,Archives of endocrinology and …,123,143,14.3,48,3
