Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
978,"LM Donini, L Busetto, SC Bischoff, T Cederholm, ...","Definition and diagnostic criteria for sarcopenic obesity: ESPEN and EASO consensus statement",2022,"Obesity facts","karger.com","https://karger.com/ofa/article/15/3/321/825712","https://scholar.google.com/scholar?cites=16926335825541539965&as_sdt=2005&sciodt=0,5&hl=en",24,"2025-08-12 20:35:49","HTML","","","",,,,,978,326.00,196,5,3,"… and altered body composition are needed to establish a firm diagnosis of SO. The diagnostic evaluation will primarily be performed when techniques and devices for body composition …","https://karger.com/ofa/article/15/3/321/825712","https://scholar.google.com/scholar?q=related:fShf9sBs5uoJ:scholar.google.com/&scioq=%22sarcopenia%22%7C%22sarcopenic+obesity%22+%22machine+learning%22%7C%22deep+learning%22%7C%22artificial+intelligence%22%7Cai%7C%22computer+vision%22%7C%22computer+graphics%22%7C%223d+body%22%7Cmorphometry%7C%22body+composition%22+diagnos*%7Cdetect*%7Cassess*%7Cpredict*%7Ctreat*%7Cintervention*&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2026"
752,"N Fujiwara, H Nakagawa, Y Kudo, R Tateishi, ...","Sarcopenia, intramuscular fat deposition, and visceral adiposity independently predict the outcomes of hepatocellular carcinoma",2015,"Journal of …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0168827815001415","https://scholar.google.com/scholar?cites=11116519962066700804&as_sdt=2005&sciodt=0,5&hl=en",364,"2025-08-12 20:35:49","HTML","","","",,,,,752,75.20,150,5,10,"… Among five body composition components, low SMI (called sarcopenia), low MA (called … A multivariate analysis revealed that sarcopenia (hazard ratio [HR], 1.52; 95% confidence …","https://www.sciencedirect.com/science/article/pii/S0168827815001415","https://scholar.google.com/scholar?q=related:BEqG9QHQRZoJ:scholar.google.com/&scioq=%22sarcopenia%22%7C%22sarcopenic+obesity%22+%22machine+learning%22%7C%22deep+learning%22%7C%22artificial+intelligence%22%7Cai%7C%22computer+vision%22%7C%22computer+graphics%22%7C%223d+body%22%7Cmorphometry%7C%22body+composition%22+diagnos*%7Cdetect*%7Cassess*%7Cpredict*%7Ctreat*%7Cintervention*&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2026"
737,"J Bauer, JE Morley, AMWJ Schols, ...","Sarcopenia: a time for action. An SCWD position paper",2019,"… , sarcopenia and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/jcsm.12483","https://scholar.google.com/scholar?cites=7048991631540805815&as_sdt=2005&sciodt=0,5&hl=en",681,"2025-08-12 20:35:49","","10.1002/jcsm.12483","","",,,,,737,122.83,184,4,6,"… the diagnosis of age-related and disease-related sarcopenia. It is important to address the risk factors for sarcopenia… training of artificial intelligence technologies or similar technologies. …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/jcsm.12483","https://scholar.google.com/scholar?q=related:t-CwrooM02EJ:scholar.google.com/&scioq=%22sarcopenia%22%7C%22sarcopenic+obesity%22+%22machine+learning%22%7C%22deep+learning%22%7C%22artificial+intelligence%22%7Cai%7C%22computer+vision%22%7C%22computer+graphics%22%7C%223d+body%22%7Cmorphometry%7C%22body+composition%22+diagnos*%7Cdetect*%7Cassess*%7Cpredict*%7Ctreat*%7Cintervention*&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2026"
737,"RJS Dhillon, S Hasni","Pathogenesis and management of sarcopenia",2017,"Clinics in geriatric medicine","pmc.ncbi.nlm.nih.gov","https://pmc.ncbi.nlm.nih.gov/articles/PMC5127276/","https://scholar.google.com/scholar?cites=301391488500282355&as_sdt=2005&sciodt=0,5&hl=en",856,"2025-08-12 20:35:49","HTML","","","",,,,,737,92.13,369,2,8,"… (22) The diagnosis of sarcopenia … and diagnostic criteria for sarcopenia is lacking. The most commonly used screening tool developed by the European Working Group on Sarcopenia in …","https://pmc.ncbi.nlm.nih.gov/articles/PMC5127276/","https://scholar.google.com/scholar?q=related:87NiQvbBLgQJ:scholar.google.com/&scioq=%22sarcopenia%22%7C%22sarcopenic+obesity%22+%22machine+learning%22%7C%22deep+learning%22%7C%22artificial+intelligence%22%7Cai%7C%22computer+vision%22%7C%22computer+graphics%22%7C%223d+body%22%7Cmorphometry%7C%22body+composition%22+diagnos*%7Cdetect*%7Cassess*%7Cpredict*%7Ctreat*%7Cintervention*&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2026"
659,"S Dasarathy, M Merli","Sarcopenia from mechanism to diagnosis and treatment in liver disease",2016,"Journal of hepatology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0168827816304159","https://scholar.google.com/scholar?cites=17779756712511458227&as_sdt=2005&sciodt=0,5&hl=en",106,"2025-08-12 20:35:49","HTML","","","",,,,,659,73.22,330,2,9,"… sarcopenia in cirrhosis. Nutrient supplementation and physical activity are used to counter sarcopenia … mobility may all contribute to sarcopenia in cirrhosis, hyperammonemia has …","https://www.sciencedirect.com/science/article/pii/S0168827816304159","https://scholar.google.com/scholar?q=related:s8scYodivvYJ:scholar.google.com/&scioq=%22sarcopenia%22%7C%22sarcopenic+obesity%22+%22machine+learning%22%7C%22deep+learning%22%7C%22artificial+intelligence%22%7Cai%7C%22computer+vision%22%7C%22computer+graphics%22%7C%223d+body%22%7Cmorphometry%7C%22body+composition%22+diagnos*%7Cdetect*%7Cassess*%7Cpredict*%7Ctreat*%7Cintervention*&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2026"
647,"M Steffl, RW Bohannon, L Sontakova, ...","Relationship between sarcopenia and physical activity in older people: a systematic review and meta-analysis",2017,"… interventions in aging","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.2147/CIA.S132940","https://scholar.google.com/scholar?cites=7587876587897915144&as_sdt=2005&sciodt=0,5&hl=en",676,"2025-08-12 20:35:49","","10.2147/CIA.S132940","","",,,,,647,80.88,162,4,8,"… Sarcopenia diagnostics were based on body composition measurements in most cases. The … Therefore, we recommend that future research should unify diagnostic methods according …","https://www.tandfonline.com/doi/pdf/10.2147/CIA.S132940","https://scholar.google.com/scholar?q=related:CIco7Y2NTWkJ:scholar.google.com/&scioq=%22sarcopenia%22%7C%22sarcopenic+obesity%22+%22machine+learning%22%7C%22deep+learning%22%7C%22artificial+intelligence%22%7Cai%7C%22computer+vision%22%7C%22computer+graphics%22%7C%223d+body%22%7Cmorphometry%7C%22body+composition%22+diagnos*%7Cdetect*%7Cassess*%7Cpredict*%7Ctreat*%7Cintervention*&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2026"
640,"AM Ryan, DG Power, L Daly, SJ Cushen, ...","Cancer-associated malnutrition, cachexia and sarcopenia: the skeleton in the hospital closet 40 years later",2016,"Proceedings of the …","cambridge.org","https://www.cambridge.org/core/journals/proceedings-of-the-nutrition-society/article/cancerassociated-malnutrition-cachexia-and-sarcopenia-the-skeleton-in-the-hospital-closet-40-years-later/11C5216B25630EA977C6F64364FB1712","https://scholar.google.com/scholar?cites=4490256617412125069&as_sdt=2005&sciodt=0,5&hl=en",690,"2025-08-12 20:35:49","","","","",,,,,640,71.11,128,5,9,"… Changes in nutrition status can occur at any point in the timeline of cancer diagnosis, treatment … with sarcopenia and dose-escalating studies based on pre-treatment body composition …","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/11C5216B25630EA977C6F64364FB1712/S002966511500419Xa.pdf/div-class-title-cancer-associated-malnutrition-cachexia-and-sarcopenia-the-skeleton-in-the-hospital-closet-40-years-later-div.pdf","https://scholar.google.com/scholar?q=related:jWEyZ5qYUD4J:scholar.google.com/&scioq=%22sarcopenia%22%7C%22sarcopenic+obesity%22+%22machine+learning%22%7C%22deep+learning%22%7C%22artificial+intelligence%22%7Cai%7C%22computer+vision%22%7C%22computer+graphics%22%7C%223d+body%22%7Cmorphometry%7C%22body+composition%22+diagnos*%7Cdetect*%7Cassess*%7Cpredict*%7Ctreat*%7Cintervention*&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2026"
555,"BJ Caan, EMC Feliciano, CM Prado, S Alexeeff, ...","Association of muscle and adiposity measured by computed tomography with survival in patients with nonmetastatic breast cancer",2018,"JAMA …","jamanetwork.com","https://jamanetwork.com/journals/jamaoncology/article-abstract/2677300","https://scholar.google.com/scholar?cites=828268444562967471&as_sdt=2005&sciodt=0,5&hl=en",387,"2025-08-12 20:35:49","","","","",,,,,555,79.29,111,5,7,"… scans to investigate measures of body composition in patients with … measures of body composition, including sarcopenia, … of sarcopenia with survival across stage at diagnosis, all of the …","https://jamanetwork.com/journals/jamaoncology/fullarticle/2677300","https://scholar.google.com/scholar?q=related:r0vXEMOZfgsJ:scholar.google.com/&scioq=%22sarcopenia%22%7C%22sarcopenic+obesity%22+%22machine+learning%22%7C%22deep+learning%22%7C%22artificial+intelligence%22%7Cai%7C%22computer+vision%22%7C%22computer+graphics%22%7C%223d+body%22%7Cmorphometry%7C%22body+composition%22+diagnos*%7Cdetect*%7Cassess*%7Cpredict*%7Ctreat*%7Cintervention*&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2026"
544,"TG Barbosa-Silva, AMB Menezes, ...","Enhancing SARC-F: improving sarcopenia screening in the clinical practice",2016,"Journal of the American …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1525861016303140","https://scholar.google.com/scholar?cites=6310884061477907928&as_sdt=2005&sciodt=0,5&hl=en",205,"2025-08-12 20:35:49","","","","",,,,,544,60.44,181,3,9,"… Consortium and the substudy on body composition) were … sarcopenia, and cannot be identified as having sarcopenia by … sarcopenia testing (and, thereby, not a precise diagnostic tool), …","https://2024.sci-hub.box/6029/c2d91f8e12d07222f8180856dcfc28f9/barbosa-silva2016.pdf","https://scholar.google.com/scholar?q=related:2K0QD57DlFcJ:scholar.google.com/&scioq=%22sarcopenia%22%7C%22sarcopenic+obesity%22+%22machine+learning%22%7C%22deep+learning%22%7C%22artificial+intelligence%22%7Cai%7C%22computer+vision%22%7C%22computer+graphics%22%7C%223d+body%22%7Cmorphometry%7C%22body+composition%22+diagnos*%7Cdetect*%7Cassess*%7Cpredict*%7Ctreat*%7Cintervention*&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2026"
544,"SK Papadopoulou","Sarcopenia: a contemporary health problem among older adult populations",2020,"Nutrients","mdpi.com","https://www.mdpi.com/2072-6643/12/5/1293","https://scholar.google.com/scholar?cites=12491035841274714915&as_sdt=2005&sciodt=0,5&hl=en",422,"2025-08-12 20:35:49","HTML","","","",,,,,544,108.80,544,1,5,"… sarcopenia criteria, sarcopenia diagnosis can be difficult to understand. In addition, the significant variations in the prevalence of sarcopenia … questionnaire, body composition via dual-…","https://www.mdpi.com/2072-6643/12/5/1293","https://scholar.google.com/scholar?q=related:Ixva0-oSWa0J:scholar.google.com/&scioq=%22sarcopenia%22%7C%22sarcopenic+obesity%22+%22machine+learning%22%7C%22deep+learning%22%7C%22artificial+intelligence%22%7Cai%7C%22computer+vision%22%7C%22computer+graphics%22%7C%223d+body%22%7Cmorphometry%7C%22body+composition%22+diagnos*%7Cdetect*%7Cassess*%7Cpredict*%7Ctreat*%7Cintervention*&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2026"
530,"Y Hamaguchi, T Kaido, S Okumura, A Kobayashi, ...","Proposal for new diagnostic criteria for low skeletal muscle mass based on computed tomography imaging in Asian adults",2016,"Nutrition","Elsevier","https://www.sciencedirect.com/science/article/pii/S0899900716300430","https://scholar.google.com/scholar?cites=18274410127278688218&as_sdt=2005&sciodt=0,5&hl=en",534,"2025-08-12 20:35:49","HTML","","","",,,,,530,58.89,106,5,9,"… Sarcopenia has been shown to be an independent predictor of lower overall survival in various disease states [2], [3], [4], [5], [6]. Sarcopenia … of the body composition, including adipose …","https://www.sciencedirect.com/science/article/pii/S0899900716300430","https://scholar.google.com/scholar?q=related:2kc_VDC_m_0J:scholar.google.com/&scioq=%22sarcopenia%22%7C%22sarcopenic+obesity%22+%22machine+learning%22%7C%22deep+learning%22%7C%22artificial+intelligence%22%7Cai%7C%22computer+vision%22%7C%22computer+graphics%22%7C%223d+body%22%7Cmorphometry%7C%22body+composition%22+diagnos*%7Cdetect*%7Cassess*%7Cpredict*%7Ctreat*%7Cintervention*&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2026"
520,"KV Chang, TH Hsu, WT Wu, KC Huang, ...","Association between sarcopenia and cognitive impairment: a systematic review and meta-analysis",2016,"Journal of the American …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1525861016304285","https://scholar.google.com/scholar?cites=1221343128854990057&as_sdt=2005&sciodt=0,5&hl=en",268,"2025-08-12 20:35:49","","","","",,,,,520,57.78,104,5,9,"Background Sarcopenia, a gradual loss of muscle mass and function, has been associated with poor health outcomes. Its correlation with another age-related degenerative process, …","https://www.jamda.com/article/S1525-8610(16)30428-5/pdf","https://scholar.google.com/scholar?q=related:6QxE0BoV8xAJ:scholar.google.com/&scioq=%22sarcopenia%22%7C%22sarcopenic+obesity%22+%22machine+learning%22%7C%22deep+learning%22%7C%22artificial+intelligence%22%7Cai%7C%22computer+vision%22%7C%22computer+graphics%22%7C%223d+body%22%7Cmorphometry%7C%22body+composition%22+diagnos*%7Cdetect*%7Cassess*%7Cpredict*%7Ctreat*%7Cintervention*&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2026"
510,"SE Jones, M Maddocks, SSC Kon, JL Canavan, ...","Sarcopenia in COPD: prevalence, clinical correlates and response to pulmonary rehabilitation",2015,"Thorax","thorax.bmj.com","https://thorax.bmj.com/content/70/3/213.short","https://scholar.google.com/scholar?cites=17319941740836689204&as_sdt=2005&sciodt=0,5&hl=en",919,"2025-08-12 20:35:49","","","","",,,,,510,51.00,102,5,10,"… ) developed practical clinical diagnostic criteria for sarcopenia8 which … body composition, functional performance or health status between patients with and patients without sarcopenia (…","https://thorax.bmj.com/content/thoraxjnl/70/3/213.full.pdf","https://scholar.google.com/scholar?q=related:NBUIkT_LXPAJ:scholar.google.com/&scioq=%22sarcopenia%22%7C%22sarcopenic+obesity%22+%22machine+learning%22%7C%22deep+learning%22%7C%22artificial+intelligence%22%7Cai%7C%22computer+vision%22%7C%22computer+graphics%22%7C%223d+body%22%7Cmorphometry%7C%22body+composition%22+diagnos*%7Cdetect*%7Cassess*%7Cpredict*%7Ctreat*%7Cintervention*&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2026"
493,"EMC Feliciano, CH Kroenke, JA Meyerhardt, ...","Association of systemic inflammation and sarcopenia with survival in nonmetastatic colorectal cancer: results from the C SCANS study",2017,"JAMA …","jamanetwork.com","https://jamanetwork.com/journals/jamaoncology/article-abstract/2648322","https://scholar.google.com/scholar?cites=11048469821934222251&as_sdt=2005&sciodt=0,5&hl=en",532,"2025-08-12 20:35:49","","","","",,,,,493,61.63,123,4,8,"… among inflammation, body composition, and cancer progression. Although there was a temporal order to our data—patients who presented with sarcopenia at diagnosis had elevated …","https://jamanetwork.com/journals/jamaoncology/fullarticle/2648322","https://scholar.google.com/scholar?q=related:qzsDCMQMVJkJ:scholar.google.com/&scioq=%22sarcopenia%22%7C%22sarcopenic+obesity%22+%22machine+learning%22%7C%22deep+learning%22%7C%22artificial+intelligence%22%7Cai%7C%22computer+vision%22%7C%22computer+graphics%22%7C%223d+body%22%7Cmorphometry%7C%22body+composition%22+diagnos*%7Cdetect*%7Cassess*%7Cpredict*%7Ctreat*%7Cintervention*&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2026"
